Day,Part(s),Start,End,Notes
8,1+2,Fri 11 Dec 2020 16:54:45 PST,Sat 12 Dec 2020 13:37:44 PST,
9,1+2,Sun 27 Dec 2020 13:58:05 PST,Sun 27 Dec 2020 15:36:17 PST,
10,1,Mon 28 Dec 2020 13:25:31 PST,Mon 28 Dec 2020 14:14:20 PST,
10,2,Mon 28 Dec 2020 14:15:28 PST,Mon 28 Dec 2020 16:12:20 PST,
11,1,Wed 30 Dec 2020 14:43:21 PST,Wed 30 Dec 2020 18:49:52 PST,Took a long break mid-session
11,2,Mon Jan  4 16:58:57 PST 2021,Tue Jan  5 16:05:33 PST 2021,Overnight break
